
0:	learn: 54.2681490	test: 49.7051477	best: 49.7051477 (0)	total: 53.5ms	remaining: 17m 50s
59:	learn: 37.9487039	test: 46.3860559	best: 46.3860559 (59)	total: 205ms	remaining: 1m 8s
60:	learn: 37.7739825	test: 46.3401172	best: 46.3401172 (60)	total: 207ms	remaining: 1m 7s
61:	learn: 37.5963503	test: 46.3634374	best: 46.3401172 (60)	total: 209ms	remaining: 1m 7s
62:	learn: 37.4131319	test: 46.3029629	best: 46.3029629 (62)	total: 211ms	remaining: 1m 6s
63:	learn: 37.2399813	test: 46.2285197	best: 46.2285197 (63)	total: 213ms	remaining: 1m 6s
64:	learn: 37.0663622	test: 46.2432468	best: 46.2285197 (63)	total: 215ms	remaining: 1m 5s
65:	learn: 36.8925501	test: 46.2255723	best: 46.2255723 (65)	total: 217ms	remaining: 1m 5s
66:	learn: 36.7213141	test: 46.1972140	best: 46.1972140 (66)	total: 219ms	remaining: 1m 5s
67:	learn: 36.5612479	test: 46.2303282	best: 46.1972140 (66)	total: 221ms	remaining: 1m 4s
68:	learn: 36.3982516	test: 46.1783780	best: 46.1783780 (68)	total: 223ms	remaining: 1m 4s
69:	learn: 36.2345097	test: 46.1799283	best: 46.1783780 (68)	total: 225ms	remaining: 1m 3s
70:	learn: 36.0726083	test: 46.1630050	best: 46.1630050 (70)	total: 227ms	remaining: 1m 3s
71:	learn: 35.9181434	test: 46.1910971	best: 46.1630050 (70)	total: 230ms	remaining: 1m 3s
72:	learn: 35.7631091	test: 46.1546800	best: 46.1546800 (72)	total: 232ms	remaining: 1m 3s
73:	learn: 35.6148858	test: 46.1810325	best: 46.1546800 (72)	total: 235ms	remaining: 1m 3s
74:	learn: 35.4667595	test: 46.0650743	best: 46.0650743 (74)	total: 237ms	remaining: 1m 2s
75:	learn: 35.3224664	test: 45.9796554	best: 45.9796554 (75)	total: 239ms	remaining: 1m 2s
76:	learn: 35.1825594	test: 45.9361954	best: 45.9361954 (76)	total: 241ms	remaining: 1m 2s
77:	learn: 35.0352848	test: 45.9340869	best: 45.9340869 (77)	total: 243ms	remaining: 1m 2s
78:	learn: 34.8901351	test: 45.8853850	best: 45.8853850 (78)	total: 245ms	remaining: 1m 1s
79:	learn: 34.7494665	test: 45.8673891	best: 45.8673891 (79)	total: 247ms	remaining: 1m 1s
80:	learn: 34.6129006	test: 45.8292602	best: 45.8292602 (80)	total: 249ms	remaining: 1m 1s
81:	learn: 34.4731357	test: 45.8184195	best: 45.8184195 (81)	total: 251ms	remaining: 1m
82:	learn: 34.3403580	test: 45.8023112	best: 45.8023112 (82)	total: 253ms	remaining: 1m
83:	learn: 34.2067635	test: 45.7986760	best: 45.7986760 (83)	total: 255ms	remaining: 1m
84:	learn: 34.0765231	test: 45.8247046	best: 45.7986760 (83)	total: 257ms	remaining: 1m
85:	learn: 33.9539564	test: 45.8460895	best: 45.7986760 (83)	total: 259ms	remaining: 60s
86:	learn: 33.8253783	test: 45.8126814	best: 45.7986760 (83)	total: 261ms	remaining: 59.7s
87:	learn: 33.7001282	test: 45.8071242	best: 45.7986760 (83)	total: 263ms	remaining: 59.4s
88:	learn: 33.5736872	test: 45.7885373	best: 45.7885373 (88)	total: 265ms	remaining: 59.2s
89:	learn: 33.4509103	test: 45.7658018	best: 45.7658018 (89)	total: 267ms	remaining: 59s
90:	learn: 33.3319906	test: 45.8005307	best: 45.7658018 (89)	total: 269ms	remaining: 58.8s
91:	learn: 33.2135592	test: 45.8098319	best: 45.7658018 (89)	total: 271ms	remaining: 58.7s
92:	learn: 33.0987457	test: 45.8158564	best: 45.7658018 (89)	total: 273ms	remaining: 58.5s
93:	learn: 32.9846760	test: 45.8292302	best: 45.7658018 (89)	total: 275ms	remaining: 58.3s
94:	learn: 32.8724337	test: 45.8662129	best: 45.7658018 (89)	total: 277ms	remaining: 58.1s
95:	learn: 32.7634883	test: 45.8529794	best: 45.7658018 (89)	total: 280ms	remaining: 58.1s
96:	learn: 32.6571997	test: 45.8348965	best: 45.7658018 (89)	total: 282ms	remaining: 57.9s
97:	learn: 32.5529213	test: 45.8308350	best: 45.7658018 (89)	total: 284ms	remaining: 57.7s
98:	learn: 32.4491252	test: 45.7171373	best: 45.7171373 (98)	total: 286ms	remaining: 57.6s
99:	learn: 32.3489827	test: 45.7285767	best: 45.7171373 (98)	total: 288ms	remaining: 57.4s
100:	learn: 32.2497738	test: 45.7062280	best: 45.7062280 (100)	total: 291ms	remaining: 57.4s
101:	learn: 32.1496737	test: 45.7147375	best: 45.7062280 (100)	total: 294ms	remaining: 57.4s
102:	learn: 32.0535063	test: 45.6634788	best: 45.6634788 (102)	total: 297ms	remaining: 57.3s
103:	learn: 31.9539525	test: 45.6703858	best: 45.6634788 (102)	total: 299ms	remaining: 57.2s
104:	learn: 31.8562376	test: 45.6564922	best: 45.6564922 (104)	total: 301ms	remaining: 57s
105:	learn: 31.7610911	test: 45.6535844	best: 45.6535844 (105)	total: 303ms	remaining: 56.8s
106:	learn: 31.6624835	test: 45.6473024	best: 45.6473024 (106)	total: 305ms	remaining: 56.6s
107:	learn: 31.5717112	test: 45.6540998	best: 45.6473024 (106)	total: 307ms	remaining: 56.6s
108:	learn: 31.4728243	test: 45.6339996	best: 45.6339996 (108)	total: 310ms	remaining: 56.5s
109:	learn: 31.3834865	test: 45.6414307	best: 45.6339996 (108)	total: 312ms	remaining: 56.3s
110:	learn: 31.2964362	test: 45.5865234	best: 45.5865234 (110)	total: 313ms	remaining: 56.2s
111:	learn: 31.2092711	test: 45.5882882	best: 45.5865234 (110)	total: 315ms	remaining: 56s
112:	learn: 31.1229405	test: 45.5435841	best: 45.5435841 (112)	total: 317ms	remaining: 55.8s
113:	learn: 31.0374735	test: 45.4902183	best: 45.4902183 (113)	total: 319ms	remaining: 55.7s
114:	learn: 30.9504936	test: 45.4225611	best: 45.4225611 (114)	total: 321ms	remaining: 55.5s
115:	learn: 30.8663206	test: 45.4107498	best: 45.4107498 (115)	total: 323ms	remaining: 55.4s
116:	learn: 30.7849819	test: 45.3991608	best: 45.3991608 (116)	total: 325ms	remaining: 55.2s
117:	learn: 30.7098013	test: 45.4027980	best: 45.3991608 (116)	total: 327ms	remaining: 55.1s
118:	learn: 30.6265729	test: 45.3463283	best: 45.3463283 (118)	total: 330ms	remaining: 55.1s
119:	learn: 30.5525678	test: 45.3298814	best: 45.3298814 (119)	total: 332ms	remaining: 55s
120:	learn: 30.4780471	test: 45.2647825	best: 45.2647825 (120)	total: 334ms	remaining: 54.9s
121:	learn: 30.4083836	test: 45.2172834	best: 45.2172834 (121)	total: 337ms	remaining: 54.8s
122:	learn: 30.3398485	test: 45.2216153	best: 45.2172834 (121)	total: 338ms	remaining: 54.7s
123:	learn: 30.2724355	test: 45.2356317	best: 45.2172834 (121)	total: 341ms	remaining: 54.6s
124:	learn: 30.2014768	test: 45.2595195	best: 45.2172834 (121)	total: 344ms	remaining: 54.6s
125:	learn: 30.1255725	test: 45.2483143	best: 45.2172834 (121)	total: 346ms	remaining: 54.5s
126:	learn: 30.0574916	test: 45.1941747	best: 45.1941747 (126)	total: 348ms	remaining: 54.4s
127:	learn: 29.9842763	test: 45.2119144	best: 45.1941747 (126)	total: 350ms	remaining: 54.4s
128:	learn: 29.9107731	test: 45.1936883	best: 45.1936883 (128)	total: 352ms	remaining: 54.2s
129:	learn: 29.8464168	test: 45.1709831	best: 45.1709831 (129)	total: 354ms	remaining: 54.1s
130:	learn: 29.7690447	test: 45.1481367	best: 45.1481367 (130)	total: 356ms	remaining: 53.9s
131:	learn: 29.7050989	test: 45.1288189	best: 45.1288189 (131)	total: 357ms	remaining: 53.8s
132:	learn: 29.6408262	test: 45.1351331	best: 45.1288189 (131)	total: 359ms	remaining: 53.6s
133:	learn: 29.5832695	test: 45.1803569	best: 45.1288189 (131)	total: 361ms	remaining: 53.5s
134:	learn: 29.5268149	test: 45.1783702	best: 45.1288189 (131)	total: 362ms	remaining: 53.3s
135:	learn: 29.4621248	test: 45.1666254	best: 45.1288189 (131)	total: 364ms	remaining: 53.2s
136:	learn: 29.4013631	test: 45.1760296	best: 45.1288189 (131)	total: 367ms	remaining: 53.2s
137:	learn: 29.3396319	test: 45.1580107	best: 45.1288189 (131)	total: 368ms	remaining: 53s
138:	learn: 29.2739338	test: 45.1462628	best: 45.1288189 (131)	total: 370ms	remaining: 52.8s
139:	learn: 29.2150978	test: 45.1303304	best: 45.1288189 (131)	total: 372ms	remaining: 52.7s
140:	learn: 29.1502068	test: 45.1057212	best: 45.1057212 (140)	total: 374ms	remaining: 52.6s
141:	learn: 29.0882474	test: 45.0836282	best: 45.0836282 (141)	total: 375ms	remaining: 52.5s
142:	learn: 29.0363586	test: 45.0934487	best: 45.0836282 (141)	total: 377ms	remaining: 52.3s
143:	learn: 28.9792589	test: 45.0816147	best: 45.0816147 (143)	total: 378ms	remaining: 52.2s
144:	learn: 28.9246236	test: 45.0105663	best: 45.0105663 (144)	total: 380ms	remaining: 52.1s
145:	learn: 28.8652168	test: 44.9959202	best: 44.9959202 (145)	total: 382ms	remaining: 51.9s
146:	learn: 28.8069996	test: 44.9844578	best: 44.9844578 (146)	total: 384ms	remaining: 51.8s
147:	learn: 28.7576933	test: 44.9708921	best: 44.9708921 (147)	total: 385ms	remaining: 51.7s
148:	learn: 28.7059971	test: 44.9878972	best: 44.9708921 (147)	total: 387ms	remaining: 51.6s
149:	learn: 28.6514104	test: 44.9382031	best: 44.9382031 (149)	total: 389ms	remaining: 51.5s
150:	learn: 28.5998525	test: 44.9479098	best: 44.9382031 (149)	total: 391ms	remaining: 51.4s
151:	learn: 28.5518480	test: 44.9669955	best: 44.9382031 (149)	total: 393ms	remaining: 51.3s
152:	learn: 28.5023899	test: 44.9720947	best: 44.9382031 (149)	total: 395ms	remaining: 51.2s
153:	learn: 28.4539228	test: 44.9298354	best: 44.9298354 (153)	total: 397ms	remaining: 51.1s
154:	learn: 28.4069729	test: 44.9187062	best: 44.9187062 (154)	total: 399ms	remaining: 51s
155:	learn: 28.3549101	test: 44.9266825	best: 44.9187062 (154)	total: 400ms	remaining: 50.9s
156:	learn: 28.3053531	test: 44.9258912	best: 44.9187062 (154)	total: 402ms	remaining: 50.8s
157:	learn: 28.2544111	test: 44.9117250	best: 44.9117250 (157)	total: 404ms	remaining: 50.7s
158:	learn: 28.2101077	test: 44.8791119	best: 44.8791119 (158)	total: 406ms	remaining: 50.6s
159:	learn: 28.1620578	test: 44.8469414	best: 44.8469414 (159)	total: 408ms	remaining: 50.5s
160:	learn: 28.1188353	test: 44.8653506	best: 44.8469414 (159)	total: 410ms	remaining: 50.5s
161:	learn: 28.0757654	test: 44.8925249	best: 44.8469414 (159)	total: 411ms	remaining: 50.4s
162:	learn: 28.0379305	test: 44.9256888	best: 44.8469414 (159)	total: 413ms	remaining: 50.3s
163:	learn: 27.9987480	test: 44.9226252	best: 44.8469414 (159)	total: 416ms	remaining: 50.3s
164:	learn: 27.9559823	test: 44.9172550	best: 44.8469414 (159)	total: 417ms	remaining: 50.1s
165:	learn: 27.9136087	test: 44.9164125	best: 44.8469414 (159)	total: 419ms	remaining: 50.1s
166:	learn: 27.8637383	test: 44.9164841	best: 44.8469414 (159)	total: 420ms	remaining: 49.9s
167:	learn: 27.8199211	test: 44.9332983	best: 44.8469414 (159)	total: 422ms	remaining: 49.8s
168:	learn: 27.7752550	test: 44.9441529	best: 44.8469414 (159)	total: 424ms	remaining: 49.7s
169:	learn: 27.7403840	test: 44.9507211	best: 44.8469414 (159)	total: 425ms	remaining: 49.6s
170:	learn: 27.6954669	test: 44.9731865	best: 44.8469414 (159)	total: 427ms	remaining: 49.5s
171:	learn: 27.6441193	test: 44.9394839	best: 44.8469414 (159)	total: 428ms	remaining: 49.4s
172:	learn: 27.6048241	test: 44.9639747	best: 44.8469414 (159)	total: 430ms	remaining: 49.3s
173:	learn: 27.5666197	test: 44.9476992	best: 44.8469414 (159)	total: 432ms	remaining: 49.2s
174:	learn: 27.5235815	test: 44.9627851	best: 44.8469414 (159)	total: 434ms	remaining: 49.1s
175:	learn: 27.4839202	test: 44.9723403	best: 44.8469414 (159)	total: 436ms	remaining: 49.1s
176:	learn: 27.4418931	test: 44.9698766	best: 44.8469414 (159)	total: 437ms	remaining: 49s
177:	learn: 27.3974417	test: 44.9353137	best: 44.8469414 (159)	total: 439ms	remaining: 48.9s
178:	learn: 27.3607567	test: 44.9412959	best: 44.8469414 (159)	total: 440ms	remaining: 48.7s
179:	learn: 27.3253730	test: 44.9204432	best: 44.8469414 (159)	total: 442ms	remaining: 48.7s
180:	learn: 27.2900648	test: 44.9124431	best: 44.8469414 (159)	total: 443ms	remaining: 48.6s
181:	learn: 27.2490969	test: 44.9175640	best: 44.8469414 (159)	total: 445ms	remaining: 48.5s
182:	learn: 27.2108946	test: 44.9267687	best: 44.8469414 (159)	total: 447ms	remaining: 48.4s
183:	learn: 27.1737982	test: 44.9145800	best: 44.8469414 (159)	total: 450ms	remaining: 48.4s
184:	learn: 27.1368735	test: 44.8964126	best: 44.8469414 (159)	total: 451ms	remaining: 48.3s
185:	learn: 27.0986367	test: 44.9102022	best: 44.8469414 (159)	total: 453ms	remaining: 48.3s
186:	learn: 27.0649479	test: 44.9089009	best: 44.8469414 (159)	total: 455ms	remaining: 48.2s
187:	learn: 27.0318245	test: 44.9256548	best: 44.8469414 (159)	total: 456ms	remaining: 48.1s
188:	learn: 27.0011469	test: 44.9208296	best: 44.8469414 (159)	total: 458ms	remaining: 48s
189:	learn: 26.9634687	test: 44.8930792	best: 44.8469414 (159)	total: 460ms	remaining: 47.9s
190:	learn: 26.9294005	test: 44.8926522	best: 44.8469414 (159)	total: 461ms	remaining: 47.8s
191:	learn: 26.9018857	test: 44.8608812	best: 44.8469414 (159)	total: 463ms	remaining: 47.7s
192:	learn: 26.8690571	test: 44.8556671	best: 44.8469414 (159)	total: 464ms	remaining: 47.6s
193:	learn: 26.8386611	test: 44.8480643	best: 44.8469414 (159)	total: 465ms	remaining: 47.5s
194:	learn: 26.8118429	test: 44.8539101	best: 44.8469414 (159)	total: 467ms	remaining: 47.4s
195:	learn: 26.7815562	test: 44.8493730	best: 44.8469414 (159)	total: 469ms	remaining: 47.4s
196:	learn: 26.7467581	test: 44.8425481	best: 44.8425481 (196)	total: 471ms	remaining: 47.3s
197:	learn: 26.7120375	test: 44.8243244	best: 44.8243244 (197)	total: 472ms	remaining: 47.2s
198:	learn: 26.6776423	test: 44.8282358	best: 44.8243244 (197)	total: 474ms	remaining: 47.2s
199:	learn: 26.6517464	test: 44.7894884	best: 44.7894884 (199)	total: 476ms	remaining: 47.1s
200:	learn: 26.6265952	test: 44.7982996	best: 44.7894884 (199)	total: 478ms	remaining: 47s
201:	learn: 26.5954670	test: 44.7917381	best: 44.7894884 (199)	total: 479ms	remaining: 47s
202:	learn: 26.5693114	test: 44.7570761	best: 44.7570761 (202)	total: 481ms	remaining: 46.9s
203:	learn: 26.5417191	test: 44.7740345	best: 44.7570761 (202)	total: 483ms	remaining: 46.8s
204:	learn: 26.5145659	test: 44.7643324	best: 44.7570761 (202)	total: 484ms	remaining: 46.8s
205:	learn: 26.4872063	test: 44.7214434	best: 44.7214434 (205)	total: 486ms	remaining: 46.7s
206:	learn: 26.4597914	test: 44.7325297	best: 44.7214434 (205)	total: 487ms	remaining: 46.6s
207:	learn: 26.4325288	test: 44.7325352	best: 44.7214434 (205)	total: 489ms	remaining: 46.5s
208:	learn: 26.3995119	test: 44.7454375	best: 44.7214434 (205)	total: 491ms	remaining: 46.5s
209:	learn: 26.3761172	test: 44.7330739	best: 44.7214434 (205)	total: 493ms	remaining: 46.4s
210:	learn: 26.3521945	test: 44.7481530	best: 44.7214434 (205)	total: 494ms	remaining: 46.3s
211:	learn: 26.3272569	test: 44.7270681	best: 44.7214434 (205)	total: 496ms	remaining: 46.3s
212:	learn: 26.3059984	test: 44.7312459	best: 44.7214434 (205)	total: 497ms	remaining: 46.2s
213:	learn: 26.2822919	test: 44.7147946	best: 44.7147946 (213)	total: 499ms	remaining: 46.2s
214:	learn: 26.2572667	test: 44.7224974	best: 44.7147946 (213)	total: 501ms	remaining: 46.1s
215:	learn: 26.2335242	test: 44.6779982	best: 44.6779982 (215)	total: 502ms	remaining: 46s
216:	learn: 26.2111969	test: 44.6654662	best: 44.6654662 (216)	total: 504ms	remaining: 45.9s
217:	learn: 26.1879445	test: 44.6505271	best: 44.6505271 (217)	total: 505ms	remaining: 45.9s
218:	learn: 26.1610263	test: 44.5829278	best: 44.5829278 (218)	total: 507ms	remaining: 45.8s
219:	learn: 26.1393240	test: 44.5990705	best: 44.5829278 (218)	total: 508ms	remaining: 45.7s
220:	learn: 26.1170462	test: 44.6140327	best: 44.5829278 (218)	total: 510ms	remaining: 45.6s
221:	learn: 26.0957276	test: 44.6427678	best: 44.5829278 (218)	total: 512ms	remaining: 45.6s
222:	learn: 26.0755814	test: 44.6215334	best: 44.5829278 (218)	total: 514ms	remaining: 45.6s
223:	learn: 26.0585271	test: 44.6035898	best: 44.5829278 (218)	total: 516ms	remaining: 45.5s
224:	learn: 26.0353766	test: 44.5858588	best: 44.5829278 (218)	total: 517ms	remaining: 45.5s
225:	learn: 26.0129196	test: 44.5507383	best: 44.5507383 (225)	total: 519ms	remaining: 45.4s
226:	learn: 25.9892368	test: 44.5544055	best: 44.5507383 (225)	total: 520ms	remaining: 45.3s
227:	learn: 25.9676316	test: 44.5662663	best: 44.5507383 (225)	total: 522ms	remaining: 45.2s
228:	learn: 25.9483411	test: 44.5439622	best: 44.5439622 (228)	total: 524ms	remaining: 45.2s
229:	learn: 25.9294899	test: 44.5279340	best: 44.5279340 (229)	total: 526ms	remaining: 45.2s
230:	learn: 25.9117383	test: 44.5385665	best: 44.5279340 (229)	total: 528ms	remaining: 45.1s
231:	learn: 25.8961849	test: 44.5523295	best: 44.5279340 (229)	total: 529ms	remaining: 45.1s
232:	learn: 25.8758770	test: 44.4984530	best: 44.4984530 (232)	total: 530ms	remaining: 45s
233:	learn: 25.8552011	test: 44.4937244	best: 44.4937244 (233)	total: 532ms	remaining: 44.9s
234:	learn: 25.8355391	test: 44.4906428	best: 44.4906428 (234)	total: 533ms	remaining: 44.8s
235:	learn: 25.8181341	test: 44.4877668	best: 44.4877668 (235)	total: 534ms	remaining: 44.7s
236:	learn: 25.7987054	test: 44.4544536	best: 44.4544536 (236)	total: 536ms	remaining: 44.7s
237:	learn: 25.7757913	test: 44.4516940	best: 44.4516940 (237)	total: 537ms	remaining: 44.6s
238:	learn: 25.7538921	test: 44.4098135	best: 44.4098135 (238)	total: 539ms	remaining: 44.5s
239:	learn: 25.7319188	test: 44.3894660	best: 44.3894660 (239)	total: 540ms	remaining: 44.5s
240:	learn: 25.7119114	test: 44.3857970	best: 44.3857970 (240)	total: 542ms	remaining: 44.4s
241:	learn: 25.6934309	test: 44.3622867	best: 44.3622867 (241)	total: 543ms	remaining: 44.3s
242:	learn: 25.6750738	test: 44.3346680	best: 44.3346680 (242)	total: 545ms	remaining: 44.3s
243:	learn: 25.6577597	test: 44.3345964	best: 44.3345964 (243)	total: 546ms	remaining: 44.2s
244:	learn: 25.6412780	test: 44.3240552	best: 44.3240552 (244)	total: 548ms	remaining: 44.2s
245:	learn: 25.6228040	test: 44.3062602	best: 44.3062602 (245)	total: 550ms	remaining: 44.1s
246:	learn: 25.6030447	test: 44.3221140	best: 44.3062602 (245)	total: 551ms	remaining: 44.1s
247:	learn: 25.5860199	test: 44.2957042	best: 44.2957042 (247)	total: 553ms	remaining: 44s
248:	learn: 25.5687955	test: 44.3157142	best: 44.2957042 (247)	total: 554ms	remaining: 44s
249:	learn: 25.5485139	test: 44.2911027	best: 44.2911027 (249)	total: 556ms	remaining: 43.9s
250:	learn: 25.5338503	test: 44.2755529	best: 44.2755529 (250)	total: 558ms	remaining: 43.9s
251:	learn: 25.5200753	test: 44.2703263	best: 44.2703263 (251)	total: 559ms	remaining: 43.8s
252:	learn: 25.5054269	test: 44.2178037	best: 44.2178037 (252)	total: 561ms	remaining: 43.8s
253:	learn: 25.4849434	test: 44.1890673	best: 44.1890673 (253)	total: 563ms	remaining: 43.7s
254:	learn: 25.4716256	test: 44.1939301	best: 44.1890673 (253)	total: 564ms	remaining: 43.7s
255:	learn: 25.4561275	test: 44.1821687	best: 44.1821687 (255)	total: 566ms	remaining: 43.6s
256:	learn: 25.4341667	test: 44.1609870	best: 44.1609870 (256)	total: 568ms	remaining: 43.6s
257:	learn: 25.4196780	test: 44.1446092	best: 44.1446092 (257)	total: 569ms	remaining: 43.6s
258:	learn: 25.4018326	test: 44.1171793	best: 44.1171793 (258)	total: 571ms	remaining: 43.5s
259:	learn: 25.3906196	test: 44.1373435	best: 44.1171793 (258)	total: 572ms	remaining: 43.4s
260:	learn: 25.3773098	test: 44.1484511	best: 44.1171793 (258)	total: 574ms	remaining: 43.4s
261:	learn: 25.3597941	test: 44.1383857	best: 44.1171793 (258)	total: 575ms	remaining: 43.3s
262:	learn: 25.3424058	test: 44.0720466	best: 44.0720466 (262)	total: 577ms	remaining: 43.3s
263:	learn: 25.3312962	test: 44.0612496	best: 44.0612496 (263)	total: 578ms	remaining: 43.2s
264:	learn: 25.3162018	test: 44.0600749	best: 44.0600749 (264)	total: 580ms	remaining: 43.2s
265:	learn: 25.3004031	test: 44.0698647	best: 44.0600749 (264)	total: 582ms	remaining: 43.2s
